id,sub_area,kremlin_km,kremlin_km_new,latitude,longitude
1,Bibirevo,15.15621058,15.157877223094912,55.88798121869783,37.59779343238731
2,Nagatinskij Zaton,8.698054189,8.706638746481577,55.686952701168615,37.69472846577629
3,Tekstil'shhiki,9.067884956,9.072787942916575,55.71032811018364,37.742118926544244
4,Mitino,19.48700542,19.48200322411895,55.84590548247078,37.354378792988314
5,Basmannoe,2.578670647,2.580837844110835,55.7633123706177,37.653800340567614
6,Nizhegorodskoe,5.645795859,5.636100544932205,55.72591171619366,37.69472846577629
7,Sokol'niki,6.468718768,6.456252984377503,55.79447958263773,37.68826613021703
8,Bibirevo,15.77042634,15.743590026992916,55.89265630050083,37.587022873121875
9,Koptevo,10.357535,10.358055478984753,55.825646794657764,37.51593718196995
10,Kuncevo,10.86912007,11.028826812426043,55.72747007679466,37.44700560267112
11,Kosino-Uhtomskoe,17.06679632,17.068825663030488,55.71032811018364,37.879982085141904
12,Zapadnoe Degunino,16.13770406,16.1339087489593,55.883306136894824,37.507320734557595
13,Kuncevo,13.2028609,13.196859592670489,55.73837860100167,37.40823158931553
14,Presnenskoe,4.450091361,4.4407307845503805,55.7648707312187,37.55040297161937
15,Lefortovo,5.469215614,5.467008142934005,55.761754010016695,37.70334491318865
16,Mar'ino,14.11860041,14.122304274696477,55.64176024373957,37.72919425542571
17,Kuz'minki,10.31352228,10.312305942817192,55.70097794657763,37.75504359766277
18,Nagornoe,8.927901339,8.97925322923208,55.671369095158596,37.61718043906511
19,Kosino-Uhtomskoe,17.42368658,17.425311947007298,55.707211388981634,37.88429030884808
20,Gol'janovo,11.99140951,12.012206484681455,55.81785499165275,37.77012238063439
21,Vnukovo,27.17480611,27.174259136038422,55.59812614691152,37.281138989983305
22,Juzhnoe Tushino,13.91848212,13.914293580219088,55.84278876126878,37.46423849749583
23,Severnoe Tushino,16.22013333,16.221765232875004,55.85525564607679,37.43408093155259
24,Chertanovo Central'noe,15.20493154,15.202751359544918,55.61682647412354,37.58271464941569
25,Juzhnoe Tushino,15.76595734,15.779007553157609,55.83967204006678,37.41900214858097
26,Fili Davydkovo,10.15250217,10.159537458458708,55.73058679799666,37.45993027378965
27,Otradnoe,12.2453805,12.238809907892058,55.8614890884808,37.595639320534225
28,Novo-Peredelkino,19.68847158,19.68872228528019,55.65734384974958,37.352224681135226
29,Bogorodskoe,9.068351888,9.062292392379714,55.81785499165275,37.70334491318865
30,Jaroslavskoe,11.55160025,11.544105489845576,55.84902220367279,37.683957906510855
31,Strogino,14.41586649,14.41777911658203,55.80071302504174,37.40392336560935
32,Hovrino,15.01059889,15.019365357831335,55.87083925208681,37.50301251085142
33,Bibirevo,16.04707598,16.044613800406623,55.89577302170284,37.59348520868114
34,Moskvorech'e-Saburovo,12.33917428,12.342302087520462,55.64176024373957,37.63872155759599
35,Staroe Krjukovo,37.20515244,37.194943735405175,55.98304121535893,37.18635806844741
36,Mar'ino,14.18326607,14.181229030540317,55.65266876794658,37.75935182136895
37,Ljublino,10.69493206,10.690163054258926,55.68383597996661,37.73781070283807
38,Caricyno,14.61997452,14.622526623473231,55.623059916527545,37.66241678797997
39,Veshnjaki,12.32333481,12.3248673731323,55.72123663439065,37.806742282136895
40,Veshnjaki,12.85543932,12.849283256937605,55.73993696160267,37.821821065108516
41,Danilovskoe,3.921425922,3.923467897267283,55.718119913188644,37.63441333388982
42,Caricyno,13.19335936,13.191273479402042,55.633968440734556,37.636567445742905
43,Preobrazhenskoe,9.145116862,9.14579128870634,55.80071302504174,37.73565659098497
44,Kon'kovo,12.69310373,12.693550142094814,55.64487696494157,37.54824885976628
45,Brateevo,14.91321439,14.911926670906706,55.63708516193656,37.739964814691156
46,Mitino,17.94890404,17.941419361640783,55.84278876126878,37.38022813522538
47,Vostochnoe Izmajlovo,12.45895118,12.479126435339747,55.79136286143573,37.80458817028381
48,Novo-Peredelkino,18.93333859,18.932803504416334,55.660460570951585,37.36299524040067
49,Jaroslavskoe,14.27223184,14.296241492589322,55.87083925208681,37.70549902504174
50,Zapadnoe Degunino,14.41877416,14.425987591672454,55.87083925208681,37.524553629382304
51,Caricyno,14.61997452,14.622526623473231,55.623059916527545,37.66241678797997
52,Vyhino-Zhulebino,16.17954734,16.180856200124282,55.69630286477462,37.85628685475793
53,Tekstil'shhiki,7.907519074,7.907227853530367,55.71656155258765,37.72704014357262
54,Donskoe,5.048867488,5.052573913578907,55.708769749582636,37.59348520868114
55,Ljublino,11.81055208,11.80753027793824,55.680719258764604,37.757197709515864
56,Novogireevo,11.06517573,11.070564883804925,55.74305368280467,37.79381761101837
57,Bogorodskoe,9.766482309,9.759686875973182,55.81473827045075,37.72704014357262
58,Juzhnoe Butovo,24.90618499,24.90290557351756,55.537350083472454,37.50516662270451
59,Sokol,9.204766851,9.207460970390448,55.80694646744574,37.507320734557595
60,Chertanovo Central'noe,15.61823375,15.613680664020336,55.612151392320534,37.59779343238731
61,Kurkino,19.58152764,19.58237972545366,55.87863105509182,37.399615141903176
62,Izmajlovo,11.53828421,11.536366359783946,55.78980450083473,37.78950938731219
63,Preobrazhenskoe,7.988774995,7.985391501865825,55.792921222036725,37.72273191986645
64,Novogireevo,12.53908266,12.535109138188005,55.744612043405674,37.81751284140234
65,Donskoe,6.122810056,6.111609325783405,55.697861225375625,37.60210165609349
66,Severnoe Medvedkovo,14.35624953,14.36072265809834,55.88018941569282,37.64733800500835
67,Strogino,14.88441338,14.884365413376582,55.778895976627716,37.384536358931555
68,Donskoe,5.048867488,5.052573913578907,55.708769749582636,37.59348520868114
69,Rostokino,9.404261411,9.400223388341349,55.83499695826377,37.64733800500835
70,Orehovo-Borisovo Severnoe,16.45202723,16.44434437952313,55.60903467111853,37.683957906510855
71,Bibirevo,15.23459354,15.227746216727207,55.88798121869783,37.587022873121875
72,Ochakovo-Matveevskoe,13.08630242,13.08809905842317,55.69162778297162,37.43838915525877
73,Taganskoe,3.236725501,3.233312087589885,55.73993696160267,37.66457089983306
74,Dmitrovskoe,14.9674249,14.966875474830285,55.88018941569282,37.5439406360601
75,Donskoe,4.549846342,4.551955912655283,55.71188647078464,37.60425576794658
76,Vyhino-Zhulebino,12.16178667,12.160494091716467,55.708769749582636,37.79597172287146
77,Orehovo-Borisovo Juzhnoe,17.81151777,17.811638474159565,55.61059303171953,37.750735373956594
78,Kuz'minki,11.55109863,11.548827053958375,55.69941958597663,37.77658471619366
79,Teplyj Stan,15.95980721,15.960243685687026,55.63241008013355,37.47716316861436
80,Izmajlovo,12.47054357,12.467539696242381,55.80227138564274,37.79597172287146
81,Gol'janovo,12.90687237,12.898598650046003,55.816296631051756,37.78950938731219
82,Juzhnoe Butovo,23.6381015,23.636821808821768,55.54046680467446,37.58271464941569
83,Hovrino,15.44433705,15.452381863960994,55.873955973288815,37.498704287145245
84,Basmannoe,5.798406149,5.811628447133512,55.77733761602671,37.69903668948247
85,Juzhnoe Butovo,22.85345731,22.85243640154394,55.55137532888147,37.539632412353924
86,Babushkinskoe,13.68062591,13.683947587534156,55.87083925208681,37.6753414590985
87,Bogorodskoe,8.454494232,8.453537659652566,55.80538810684474,37.71411547245409
88,Staroe Krjukovo,36.66979069,36.66902094445689,55.986157936560936,37.20359096327212
89,Pokrovskoe Streshnevo,11.61569282,11.611451543132064,55.825646794657764,37.48577961602671
90,Kon'kovo,13.47367148,13.474382891150839,55.64176024373957,37.528861853088486
91,Obruchevskoe,12.58901859,12.603972719842272,55.65734384974958,37.507320734557595
92,Filevskij Park,7.640407131,7.637589401809509,55.73682024040067,37.498704287145245
93,Troparevo-Nikulino,11.73428115,11.725349479174238,55.68383597996661,37.47500905676127
94,Severnoe Butovo,20.17649107,20.174376510254653,55.57163401669449,37.58486876126878
95,Otradnoe,11.63605008,11.641370420653745,55.856814006677794,37.61718043906511
96,Hamovniki,3.112845828,3.1175972863382335,55.73214515859766,37.58271464941569
